album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
與我無關,single,45,['阿冗'],1,240000,False,4nMpKHdWRRfIbg2ogJAfPi,與我無關,55,1,2020-01-02,"['c-pop', 'mandopop']",34507301.0
M.,single,58,['Anıl Emre Daldal'],1,223750,False,6wfb4nI2Vih263JqC8WSoW,M.,68,1,2020-12-04,[],190968757.0
MIDDLE OF THE NIGHT,single,62,['Elley Duhé'],1,184447,False,58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,72,1,2020-01-10,[],1266718834.0
群青,single,49,['YOASOBI'],1,248444,False,0T4AitQuq8IJhWBWuZwkFA,群青,59,1,2020-09-01,"['j-pop', 'anime']",352866386.0
Instrumental Relics,album,64,"['Clams Casino', 'Imogen Heap']",1,277710,False,0FVuyC9RP5MACjp4lgU3qZ,I'm God,74,1,2020-04-24,"['cloud rap', 'witch house']",207390578.0
No Time To Die,single,63,['Billie Eilish'],1,242265,False,73SpzrcaHk0RQPFP73vqVR,No Time To Die,73,1,2020-02-13,[],677149928.0
奉劝,single,44,['en'],1,254027,False,7aRmOzf96wEFudbh02cRPe,奉劝,54,1,2020-07-03,"['gufeng', 'c-pop', 'mandopop']",18137667.0
嘉賓,single,48,['張遠'],1,333628,False,5jAmIkIpskwu2hRz2YaEHi,嘉賓,58,1,2020-10-26,"['taiwanese pop', 'gufeng', 'c-pop', 'mandopop']",77454287.0
songs,album,76,['Adrianne Lenker'],1,202047,False,4PwWESSlTwzvw9B7bmtTLS,anything,77,3,2020-10-23,[],177831808.0
善变,single,42,['王靖雯'],1,256551,False,7KLd6PxR3mvR0jQd8n5Rah,善变,52,1,2020-12-01,"['c-pop', 'mandopop']",25971653.0
Shoot For The Stars Aim For The Moon,album,74,"['Pop Smoke', 'Lil Tjay']",1,213333,True,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),73,13,2020-07-03,"['new york drill', 'melodic rap', 'drill', 'brooklyn drill']",858069365.0
Stay With Me,single,61,['1nonly'],1,141505,True,2WYs5LxOZfEyURXu7V0O1a,Stay With Me,71,1,2020-10-11,['phonk'],456177138.0
Whole Lotta Red,album,77,['Playboi Carti'],1,135122,True,1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,73,21,2020-12-25,['rage rap'],393908101.0
Slime & B,album,61,"['Chris Brown', 'Young Thug']",1,176960,True,1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,69,2,2020-05-08,"['trap', 'rap', 'r&b', 'melodic rap']",748245398.0
~how i'm feeling~,album,70,"['Lauv', 'LANY']",1,232853,False,6mXdCcFnPKQznj4CmMRmHC,Mean It,73,10,2020-03-06,[],427747900.0
Nicotine,album,62,['Trevor Daniel'],1,159381,False,0Aqi7ArnBrGblW5T6p2jmD,Falling,73,10,2020-03-26,[],1732229684.0
Dark Lane Demo Tapes,album,74,"['Drake', 'Chris Brown']",1,269680,True,3Q4gttWQ6hxqWOa3tHoTNi,Not You Too (feat. Chris Brown),74,4,2020-05-01,"['rap', 'r&b', 'hip hop']",269563201.0
