album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
Kid Krow,album,79,['Conan Gray'],179,1,185773,False,6KfoDhO4XUWSbnyKjNp9c4,False,True,Maniac,73,3,track,2020-03-20,[]
Future Nostalgia,album,76,['Dua Lipa'],181,1,183290,False,3PfIrDoz19wz7qK7tYeu62,False,True,Don't Start Now,78,2,track,2020-03-27,['pop']
Love Goes,album,71,"['Sam Smith', 'Normani']",184,2,171029,False,3xgT3xIlFGqZjYW9QlhJWp,False,True,Dancing With A Stranger (with Normani),74,1,track,2020-10-30,['soft pop']
To Let A Good Thing Die,album,65,['Bruno Major'],185,1,162797,False,1lORkxEMmsCZqhoxcmk3A3,False,True,Nothing,71,3,track,2020-06-05,[]
Plastic Hearts,album,73,['Miley Cyrus'],185,1,196453,False,1daDRI9ahBonbWD8YcxOIB,False,True,Angels Like You,78,3,track,2020-11-27,[]
TAKE TIME,album,72,['GIVĒON'],185,1,260776,False,6qBFSepqLCuh5tehehc1bd,False,True,Like I Want You,74,7,track,2020-03-27,['r&b']
與我無關,single,45,['阿冗'],185,1,240000,False,4nMpKHdWRRfIbg2ogJAfPi,False,True,與我無關,55,1,track,2020-01-02,"['c-pop', 'mandopop']"
M.,single,58,['Anıl Emre Daldal'],185,1,223750,False,6wfb4nI2Vih263JqC8WSoW,False,True,M.,68,1,track,2020-12-04,[]
MIDDLE OF THE NIGHT,single,62,['Elley Duhé'],185,1,184447,False,58HvfVOeJY7lUuCqF0m3ly,False,True,MIDDLE OF THE NIGHT,72,1,track,2020-01-10,[]
群青,single,49,['YOASOBI'],185,1,248444,False,0T4AitQuq8IJhWBWuZwkFA,False,True,群青,59,1,track,2020-09-01,"['j-pop', 'anime']"
Instrumental Relics,album,64,"['Clams Casino', 'Imogen Heap']",185,1,277710,False,0FVuyC9RP5MACjp4lgU3qZ,False,True,I'm God,74,1,track,2020-04-24,"['cloud rap', 'witch house']"
No Time To Die,single,63,['Billie Eilish'],184,1,242265,False,73SpzrcaHk0RQPFP73vqVR,False,True,No Time To Die,73,1,track,2020-02-13,[]
奉劝,single,44,['en'],185,1,254027,False,7aRmOzf96wEFudbh02cRPe,False,True,奉劝,54,1,track,2020-07-03,"['gufeng', 'c-pop', 'mandopop']"
嘉賓,single,48,['張遠'],185,1,333628,False,5jAmIkIpskwu2hRz2YaEHi,False,True,嘉賓,58,1,track,2020-10-26,"['taiwanese pop', 'gufeng', 'c-pop', 'mandopop']"
songs,album,76,['Adrianne Lenker'],185,1,202047,False,4PwWESSlTwzvw9B7bmtTLS,False,True,anything,77,3,track,2020-10-23,[]
善变,single,42,['王靖雯'],185,1,256551,False,7KLd6PxR3mvR0jQd8n5Rah,False,True,善变,52,1,track,2020-12-01,"['c-pop', 'mandopop']"
Shoot For The Stars Aim For The Moon,album,74,"['Pop Smoke', 'Lil Tjay']",184,1,213333,True,5rZlwNFl01HqLWBQGryKSm,False,True,Mood Swings (feat. Lil Tjay),73,13,track,2020-07-03,"['new york drill', 'melodic rap', 'drill', 'brooklyn drill']"
Stay With Me,single,61,['1nonly'],185,1,141505,True,2WYs5LxOZfEyURXu7V0O1a,False,True,Stay With Me,71,1,track,2020-10-11,['phonk']
Whole Lotta Red,album,77,['Playboi Carti'],184,1,135122,True,1BpKJw4RZxaFB88NE5uxXf,False,True,ILoveUIHateU,73,21,track,2020-12-25,['rage rap']
Slime & B,album,61,"['Chris Brown', 'Young Thug']",185,1,176960,True,1IIKrJVP1C9N7iPtG6eOsK,False,True,Go Crazy,69,2,track,2020-05-08,"['trap', 'rap', 'r&b', 'melodic rap']"
~how i'm feeling~,album,70,"['Lauv', 'LANY']",185,1,232853,False,6mXdCcFnPKQznj4CmMRmHC,False,True,Mean It,73,10,track,2020-03-06,[]
Nicotine,album,62,['Trevor Daniel'],185,1,159381,False,0Aqi7ArnBrGblW5T6p2jmD,False,True,Falling,73,10,track,2020-03-26,[]
Dark Lane Demo Tapes,album,74,"['Drake', 'Chris Brown']",184,1,269680,True,3Q4gttWQ6hxqWOa3tHoTNi,False,True,Not You Too (feat. Chris Brown),74,4,track,2020-05-01,"['rap', 'r&b', 'hip hop']"
Good Days,single,63,['SZA'],184,1,279204,True,3YJJjQPAbDT7mGpX3WtQ9A,False,True,Good Days,73,1,track,2020-12-25,['r&b']
Heng:garæ,single,58,['SEVENTEEN'],185,1,192893,False,1kmmKv3L4kGmoPu8aDFOmk,False,True,Kidult,61,5,track,2020-06-22,['k-pop']
Levon James,album,70,['King Von'],185,1,196179,True,7fEoXCZTZFosUFvFQg1BmW,False,True,Took Her To The O,77,2,track,2020-03-06,['drill']
If You Love Her,single,61,['Forest Blakk'],185,1,217351,False,727Z2S2mtNH46CbP9EWPwY,False,True,If You Love Her,72,1,track,2020-09-30,['spoken word']
Love Goes,album,71,['Sam Smith'],184,2,246735,False,7t3Xdbufg7q2onVsR8RBdY,False,True,Fire On Fire,73,5,track,2020-10-30,['soft pop']
Shoot For The Stars Aim For The Moon,album,74,"['Pop Smoke', 'Lil Baby', 'DaBaby']",184,1,190476,True,0PvFJmanyNQMseIFrU708S,False,True,For The Night (feat. Lil Baby & DaBaby),72,3,track,2020-07-03,"['new york drill', 'drill', 'brooklyn drill']"
Dark Lane Demo Tapes,album,74,"['Drake', 'GIVĒON']",184,1,220487,True,4wVOKKEHUJxHCFFNUWDn0B,False,True,Chicago Freestyle (feat. Giveon),75,3,track,2020-05-01,"['rap', 'r&b', 'hip hop']"
Teen X,single,66,['Ken Carson'],177,1,106536,True,0HTIrbUwwFn984RzVZm5Fk,False,True,Yale,76,2,track,2020-08-14,['rage rap']
Haru wo Tsugeru,single,46,['yama'],184,1,196497,False,5QseXDzPvtjdeaWNhYbm0m,False,True,Haru wo Tsugeru,56,1,track,2020-04-17,"['j-pop', 'anime']"
folklore,album,82,['Taylor Swift'],184,1,190898,False,2NmsngXHeC1GQ9wWrzhOMf,False,True,illicit affairs,72,10,track,2020-07-24,[]
SAVAGE MODE II,album,75,"['21 Savage', 'Metro Boomin']",185,1,195906,True,5SWnsxjhdcEDc7LJjq9UHk,False,True,Runnin,77,2,track,2020-10-02,[]
Christmas Without You,single,55,['Ava Max'],185,1,169245,False,1QLZKzC2pjP4ySf4ALrNhm,False,True,Christmas Without You,65,1,track,2020-10-15,[]
Lovefool,single,56,['twocolors'],184,1,190487,False,51Of5p3lKZeOg6itfs4og4,False,True,Lovefool,66,1,track,2020-05-08,[]
